paper_id,ref_number,title,mechanism_family,verification_level,security_properties_coded,reported_research_tools,evidence_types,gap_flags,uncertain_reason,published_protocol_reverification_use,quality_score
P123,94,Blockchain and PUF-based secure key establishment protocol for cross- domain digital twins in industrial Internet of Things architecture,Hardware-/device-rooted,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P151,95,A Post-Quantum Secure Federated Learning Framework for Cross-Domain V2G Authentication,Hardware-/device-rooted,A,yes,Scyther; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,Scyther; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P206,96,LCH-AKA Identity Authentication and Key Agreement Scheme of Lightweight Cross-Domain Heterogeneous Network Based on PUF,Hardware-/device-rooted,A,yes,AVISPA; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,AVISPA; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P204,97,LBCM A Scalable and DDoS-Resistant Cross-Domain Authentication Protocol for IIoT Using Chaotic Maps and Merkle Tree,Other/classical-general,A,yes,RoR_random_oracle; ProVerif; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Ethereum_Ganache_Solidity,RoR/random oracle; ProVerif; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P126,98,CD-AKA-IoV A Provably Secure Cross-Domain Authentication and Key Agreement Protocol for Internet of Vehicle,Hardware-/device-rooted,A,yes,RoR_random_oracle; Scyther; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; Scyther; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; storage/on-chain overhead; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P205,99,LCDMA Lightweight Cross-Domain Mutual Identity Authentication Scheme for Internet of Things,Other/classical-general,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison,RoR/random oracle; formal proof; informal security analysis; performance comparison,privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P207,100,Lightweight Blockchain-Enhanced Mutual Authentication Protocol for UAVs,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,borderline_review_needed,not selected,not assigned; evidence appraisal is descriptive
P158,101,An anonymous and efficient certificateless signature scheme based on blockchain in NDN-IoT environments,Certificateless split-key,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,borderline_review_needed,not selected,not assigned; evidence appraisal is descriptive
P180,102,CABC A Cross-Domain Authentication Method Combining Blockchain with Certificateless Signature for IIoT☆,Certificateless split-key,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Hyperledger,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P122,103,LCC-AKA: Lightweight Certificateless Cross-Domain Authentication Key Agreement Protocol for IoT Devices,Certificateless split-key,B,no,BAN_logic; RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,BAN logic; RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; scalability and throughput; resource-constrained deployment; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P147,104,A Lightweight Cross-Domain Direct Identity Authentication Protocol for VANETs,Certificateless split-key,A,yes,RoR_random_oracle; ProVerif; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; ProVerif; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P171,105,Blockchain-Based C ertificateless Cross-Domain Authentication Scheme in the Industrial Internet of Things,Certificateless split-key,D,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Hyperledger,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P128,106,A Blockchain-Assisted Cross-Domain Authentication and Key Negotiation Scheme in IIoT,Ledger-mediated trust,C,yes,BAN_logic; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P199,107,Enhance IoT Security A Blo ckchain and Chameleon Hashing-Based Scheme for Authentication,Certificateless split-key,C,yes,BAN_logic; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P105,108,AAMB a cross-domain identity authentication scheme based on multilayered blockchains in IoMT,Ledger-mediated trust,C,yes,BAN_logic; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P146,109,A Lightweight Blockchain-Based Cross-Domain Authentication and Data Sharing Scheme for the Industrial Internet of Things,Ledger-mediated trust,D,yes,BAN_logic; informal_security_analysis; formal_proof; performance_comparison,BAN logic; formal proof; informal security analysis; performance comparison,privacy-accountability tradeoff; storage/on-chain overhead; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P177,110,Blockchain‑based cross‑ domain authentication in a multi‑ domain Internet of drones environment,Ledger-mediated trust,A,yes,BAN_logic; RoR_random_oracle; Scyther; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Hyperledger,BAN logic; RoR/random oracle; Scyther; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P219,111,Revocable Certificateless Cross-Domain Authentication Scheme Based on Primary–Secondary Blockchain,Certificateless split-key,A,yes,AVISPA; informal_security_analysis; performance_comparison; simulation,AVISPA; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,research_scenario_weak,not selected,not assigned; evidence appraisal is descriptive
P220,112,S3 Cross Blockchain-Based Cross-Domain Authentication With Self-Sovereign and Supervised Identity Management,Group-/ring-signature,B,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P181,113,CABR a cross-domain authentication method combines blockchain and ring signatures,Group-/ring-signature,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform; Hyperledger; Ethereum_Ganache_Solidity,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,round6_cabr_fulltext_no_symbolic_tool_rom_only_primitive,not selected,not assigned; evidence appraisal is descriptive
P129,114,A Blockchain-Based Certificateless Anonymous Cross-Domain Authentication Scheme for IoV,Certificateless split-key,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P182,115,Conditionalprivacy-preservingmessageauthenticationschemefor cross-domainIndustrialInternetofThings,Other/classical-general,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; resource-constrained deployment; centralized trust or key escrow,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P197,116,Efficient Revocable Cross-Domain Anonymous Authentication Scheme for IIoT,Group-/ring-signature,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P139,117,A Distributed Authentication Scheme Based on Smart Contract for Roaming Service in Mobile Vehicular Networks,Ledger-mediated trust,D,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,borderline_review_needed,not selected,not assigned; evidence appraisal is descriptive
P160,118,Anonymous and Traceable A Dynamic Group Signature-Based Cross-Domain Authentication for IIoT,Group-/ring-signature,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P163,119,BCDAP-DGS Dynamic Group Signature and Batch Cross-Domain Authentication Protocol for Intelligent Transportation,Group-/ring-signature,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P198,120,"Endogenous Security Formal Definition, Innovation Mechanisms, and Experiment Research in Industrial Internet",Zero-knowledge/privacy credential,D,no,formal_proof; performance_comparison; simulation; blockchain_platform; Ethereum_Ganache_Solidity,formal proof; performance comparison; prototype/simulation; blockchain platform,policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,missing_method_excerpt,not selected,not assigned; evidence appraisal is descriptive
P189,121,DPCZK Enhancing Device Privacy Through Certificate-Free Encryption and Zero Knowledge Proof in Multi-Domain IoT Environments,Zero-knowledge/privacy credential,B,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P111,122,An Anonymous Authentication Scheme with Low Overhead for Cross-Domain IoT,Zero-knowledge/privacy credential,D,yes,informal_security_analysis; formal_proof; performance_comparison; simulation,formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P214,123,PECD-DSIIoT Privacy-enhanced cross-domain data sharing scheme for IIoT,Zero-knowledge/privacy credential,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P178,124,BP-AKAA Blockchain-enforcedPrivacy-preservingAuthenticationandKey AgreementandAccessControlforIIoT,Zero-knowledge/privacy credential,D,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration,borderline_review_needed; missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P184,125,Cross-Domain Identity Authentication Scheme for the IIoT Identification Resolution System Based on Self-Sovereign Identity,Zero-knowledge/privacy credential,A,yes,AVISPA; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,AVISPA; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P170,126,Blockchain-Assisted Transparent Cross-Domain Authorization and Authentication for Smart City,Zero-knowledge/privacy credential,B,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform; Hyperledger,informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P226,127,XAuth Efficient Privacy-preserving Cross-domain Authentication,Zero-knowledge/privacy credential,D,yes,informal_security_analysis; simulation; blockchain_platform,informal security analysis; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P148,128,A Multi-Blockchain Based Anonymous Cross-Domain Authentication Scheme for Industrial Internet of Things,Ledger-mediated trust,A,yes,ProVerif; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,ProVerif; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P155,129,A Traceable Cross-Domain Anonymous Authentication Scheme in Industrial Internet of Things,Ledger-mediated trust,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Ethereum_Ganache_Solidity,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P138,130,A Cross-Domain Authentication Scheme Based on Cooperative Blockchains Functioning With Revocation for Medical Consortiums,Certificateless split-key,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P143,131,A Lightweight and Robust Cross-Domain Authentication Scheme Based on Master-Slave Blockchain,Ledger-mediated trust,E,yes,simulation; blockchain_platform,prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P149,132,A Multi-Blockchain-Based Cross-Domain Authentication and Authorization Scheme for Energy Internet,Ledger-mediated trust,E,yes,performance_comparison; simulation; blockchain_platform,performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P225,133,TrustPIoT Blockchain-based Anonymous Authentication for Cross-Domain Intelligent PIoT,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P215,134,Post-Quantum Traceable Anonymous Cross-Domain Authentication for Blockchain-Based IoT,Post-quantum,C,yes,BAN_logic; RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,BAN logic; RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; post-quantum migration; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P227,135,"ZebraCPA Decentralized, Postquantum Conditional Privacy-Preserving Authentication for VANETs via Traceable ZK Ring Signatures",Post-quantum,D,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P110,136,A Post-Quantum Cross-Domain Authentication Scheme Based on Multi-Chain Architecture,Post-quantum,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P203,137,Lattice-Based Certificateless Proxy Re-Signature for IoT A Computation-and-Storage Optimized Post-Quantum Scheme,Post-quantum,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
