paper_id,ref_number,title,doi,mechanism_family,deployment_crosscutting_facets,verification_level,properties,year,year_group,venue_tier,scope_status,mechanism_source,correction_reason
P129,114,A Blockchain-Based Certificateless Anonymous Cross-Domain Authentication Scheme for IoV,10.1155/int/1782136,Certificateless split-key,ledger-present; privacy/anonymity-layer,B,MA; SK; PFS; AN; UL; Replay; MITM; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P182,115,Conditionalprivacy-preservingmessageauthenticationschemefor cross-domainIndustrialInternetofThings,10.1016/j.adhoc.2023.103137,Other/classical-general,no-ledger; distributed-threshold; privacy/anonymity-layer,B,MA; AN; UL; Replay; MITM; Imp; Rev,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,The proposed mechanism uses threshold sharing of a domain master key and identity-based signatures; blockchain appears only in related work.
P197,116,Efficient Revocable Cross-Domain Anonymous Authentication Scheme for IIoT,10.1109/tifs.2024.3523198,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,AN; UL; Rev,2024,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P139,117,A Distributed Authentication Scheme Based on Smart Contract for Roaming Service in Mobile Vehicular Networks,10.1109/tvt.2022.3148303,Ledger-mediated trust,ledger-present,D,MA; SK; PFS; AN; UL; Replay; MITM; Rev,2022,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P160,118,Anonymous and Traceable A Dynamic Group Signature-Based Cross-Domain Authentication for IIoT,10.3390/math13132127,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,SK; AN; UL; Replay; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P163,119,BCDAP-DGS Dynamic Group Signature and Batch Cross-Domain Authentication Protocol for Intelligent Transportation,10.1109/tits.2025.3593412,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,MA; PFS; AN; UL; Replay; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P198,120,"Endogenous Security Formal Definition, Innovation Mechanisms, and Experiment Research in Industrial Internet",10.26599/TST.2023.9010034,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,D,,2024,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P189,121,DPCZK Enhancing Device Privacy Through Certificate-Free Encryption and Zero Knowledge Proof in Multi-Domain IoT Environments,10.1109/jiot.2025.3545732,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,AN; UL; Replay; MITM; Imp; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->B)
P111,122,An Anonymous Authentication Scheme with Low Overhead for Cross-Domain IoT,10.1007/978-981-97-0862-8_7,Zero-knowledge/privacy credential,ledger-present; privacy/anonymity-layer,D,MA; SK; AN; UL; Imp; Rev,2024,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (other journal->conference / proceedings)
P214,123,PECD-DSIIoT Privacy-enhanced cross-domain data sharing scheme for IIoT,10.1016/j.jisa.2025.104128,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,AN; Replay; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P178,124,BP-AKAA Blockchain-enforcedPrivacy-preservingAuthenticationandKey AgreementandAccessControlforIIoT,10.1016/j.jisa.2023.103443,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,D,MA; SK; AN; UL; Replay; MITM; Imp,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,
P184,125,Cross-Domain Identity Authentication Scheme for the IIoT Identification Resolution System Based on Self-Sovereign Identity,10.1109/ton.2025.3578035,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,A,MA; AN; Replay; Imp,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P170,126,Blockchain-Assisted Transparent Cross-Domain Authorization and Authentication for Smart City,10.1109/jiot.2022.3154632,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,B,MA; AN; Replay; Imp; Rev,2022,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->B)
P226,127,XAuth Efficient Privacy-preserving Cross-domain Authentication,10.1109/tdsc.2021.3092375,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer,D,AN; Imp; Rev,2021,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->D); final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P148,128,A Multi-Blockchain Based Anonymous Cross-Domain Authentication Scheme for Industrial Internet of Things,10.1109/TrustCom63139.2024.00160,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer,A,MA; SK; PFS; AN; UL; Replay; MITM; Rev,2024,2024-2026,conference / proceedings,included_primary,full-text adjudication 20260712 (quote on file),
P155,129,A Traceable Cross-Domain Anonymous Authentication Scheme in Industrial Internet of Things,10.1109/ICNLP65360.2025.11108575,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,B,MA; SK; AN; Replay; Imp; Rev,2025,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,The CA generates device/server key pairs and the verifier checks cross-domain certificates against blockchain/Merkle state; this is not certificateless split-key cryptography.
P138,130,A Cross-Domain Authentication Scheme Based on Cooperative Blockchains Functioning With Revocation for Medical Consortiums,10.1109/tnsm.2022.3146929,Certificateless split-key,ledger-present; multi-ledger,E,MA; SK; AN; Replay; MITM; Rev,2022,2021-2023,IEEE transaction / flagship journal,included_primary,full-text adjudication 20260712 (quote on file),final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P143,131,A Lightweight and Robust Cross-Domain Authentication Scheme Based on Master-Slave Blockchain,10.1109/ICCC56324.2022.10065974,Ledger-mediated trust,ledger-present; multi-ledger,E,AN; Replay; Imp,2022,2021-2023,conference / proceedings,included_primary,full-text adjudication 20260712 (quote on file),
P149,132,A Multi-Blockchain-Based Cross-Domain Authentication and Authorization Scheme for Energy Internet,10.1155/2023/4778967,Ledger-mediated trust,ledger-present; multi-ledger,E,AN; Rev,2023,2021-2023,other journal,included_primary,full-text adjudication 20260712 (quote on file),final venue-type normalization 20260720 (conference / proceedings->other journal)
P225,133,TrustPIoT Blockchain-based Anonymous Authentication for Cross-Domain Intelligent PIoT,10.1109/ICAIT62580.2024.10808094,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,E,AN,2024,2024-2026,conference / proceedings,included_primary,carried from nine-class full-text coding,
P215,134,Post-Quantum Traceable Anonymous Cross-Domain Authentication for Blockchain-Based IoT,10.1109/tce.2025.3635021,Post-quantum,ledger-present; privacy/anonymity-layer,C,MA; SK; AN; UL; Replay; MITM; Imp; Rev,2025,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P227,135,"ZebraCPA Decentralized, Postquantum Conditional Privacy-Preserving Authentication for VANETs via Traceable ZK Ring Signatures",10.1109/jiot.2026.3667814,Post-quantum,ledger-present; privacy/anonymity-layer,D,MA; AN; UL; Replay; MITM; Imp; Rev,2026,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,
P110,136,A Post-Quantum Cross-Domain Authentication Scheme Based on Multi-Chain Architecture,10.32604/cmc.2024.046816,Post-quantum,ledger-present; multi-ledger,B,SK; AN; Replay,2024,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->other journal)
P203,137,Lattice-Based Certificateless Proxy Re-Signature for IoT A Computation-and-Storage Optimized Post-Quantum Scheme,10.3390/s25154848,Post-quantum,privacy/anonymity-layer; no-ledger,B,AN; UL; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
