paper_id,ref_number,title,research_scenario,domains,core_technology,relevance_status,primary_family,deployment_crosscutting_facets
P177,110,Blockchain‑based cross‑ domain authentication in a multi‑ domain Internet of drones environment,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; smart_grid_energy; edge_fog_cloud,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Smart grid/energy,blockchain_assisted; consortium_private_chain; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing,include_primary,Ledger-mediated trust,ledger-present
P219,111,Revocable Certificateless Cross-Domain Authentication Scheme Based on Primary–Secondary Blockchain,scenario_not_explicit,,blockchain_assisted; hierarchical_master_slave_chain; PKI_CA; certificateless_certificate_free; hash_MAC; chameleon_hash; identity_based_cryptography,include_primary,Certificateless split-key,ledger-present; multi-ledger
P220,112,S3 Cross Blockchain-Based Cross-Domain Authentication With Self-Sovereign and Supervised Identity Management,IoT_general,IoT,blockchain_assisted; consortium_private_chain; multi_chain_cross_chain; PKI_CA; group_ring_signature; zero_knowledge; identity_based_cryptography,include_primary,Group-/ring-signature,ledger-present; multi-ledger
P181,113,CABR a cross-domain authentication method combines blockchain and ring signatures,IoT_general; edge_fog_cloud,IoT; Edge/Fog/Cloud,blockchain_assisted; smart_contract; PKI_CA; group_ring_signature; zero_knowledge,include_primary,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P129,114,A Blockchain-Based Certificateless Anonymous Cross-Domain Authentication Scheme for IoV,IoT_general; IoV_VANET,IoT; IoV/VANET,blockchain_assisted; smart_contract; PKI_CA; certificateless_certificate_free; ECC; group_ring_signature,include_primary,Certificateless split-key,ledger-present; privacy/anonymity-layer
P182,115,Conditionalprivacy-preservingmessageauthenticationschemefor cross-domainIndustrialInternetofThings,IIoT; IoT_general; IoMT_healthcare,IIoT; IoT; Healthcare/IoMT,blockchain_assisted; PKI_CA; certificateless_certificate_free; bilinear_pairing; group_ring_signature,include_primary,Other/classical-general,no-ledger; distributed-threshold; privacy/anonymity-layer
P197,116,Efficient Revocable Cross-Domain Anonymous Authentication Scheme for IIoT,IIoT; IoT_general,IIoT; IoT,blockchain_assisted; bilinear_pairing; hash_MAC; group_ring_signature; zero_knowledge; dynamic_accumulator; chameleon_hash,include_primary,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P139,117,A Distributed Authentication Scheme Based on Smart Contract for Roaming Service in Mobile Vehicular Networks,IoT_general; IoV_VANET; edge_fog_cloud,IoT; IoV/VANET,blockchain_assisted; smart_contract; PKI_CA,borderline_review_needed,Ledger-mediated trust,ledger-present
P160,118,Anonymous and Traceable A Dynamic Group Signature-Based Cross-Domain Authentication for IIoT,IIoT; IoT_general; edge_fog_cloud,IIoT; IoT,blockchain_assisted; PKI_CA; ECC; bilinear_pairing; hash_MAC; group_ring_signature; zero_knowledge; dynamic_accumulator,include_primary,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P163,119,BCDAP-DGS Dynamic Group Signature and Batch Cross-Domain Authentication Protocol for Intelligent Transportation,IoT_general; IoV_VANET,IoT; IoV/VANET,blockchain_assisted; PKI_CA; ECC; bilinear_pairing; group_ring_signature; zero_knowledge,include_primary,Group-/ring-signature,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P198,120,"Endogenous Security Formal Definition, Innovation Mechanisms, and Experiment Research in Industrial Internet",IoT_general; edge_fog_cloud,IoT; Edge/Fog/Cloud,blockchain_assisted; smart_contract; zero_knowledge; federated_learning; zero_trust,include_primary,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P189,121,DPCZK Enhancing Device Privacy Through Certificate-Free Encryption and Zero Knowledge Proof in Multi-Domain IoT Environments,IoT_general; IoV_VANET; smart_city; edge_fog_cloud,IoT; IoV/VANET; Smart city,blockchain_assisted; consortium_private_chain; PKI_CA; certificateless_certificate_free; zero_knowledge; identity_based_cryptography,include_primary,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P111,122,An Anonymous Authentication Scheme with Low Overhead for Cross-Domain IoT,IIoT; IoT_general; IoMT_healthcare; edge_fog_cloud,IIoT; IoT; Healthcare/IoMT,blockchain_assisted; PKI_CA; certificateless_certificate_free; bilinear_pairing; zero_knowledge,include_primary,Zero-knowledge/privacy credential,ledger-present; privacy/anonymity-layer
P214,123,PECD-DSIIoT Privacy-enhanced cross-domain data sharing scheme for IIoT,IIoT; IoT_general; IoMT_healthcare; edge_fog_cloud,IIoT; IoT; Edge/Fog/Cloud; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; zero_knowledge,include_primary,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P178,124,BP-AKAA Blockchain-enforcedPrivacy-preservingAuthenticationandKey AgreementandAccessControlforIIoT,IIoT; IoT_general,IIoT; IoT,blockchain_assisted; zero_knowledge,borderline_review_needed,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P184,125,Cross-Domain Identity Authentication Scheme for the IIoT Identification Resolution System Based on Self-Sovereign Identity,IIoT; IoT_general; IoMT_healthcare; smart_city,IIoT; IoT; Healthcare/IoMT; Smart city,blockchain_assisted; smart_contract; bilinear_pairing; zero_knowledge,include_primary,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P170,126,Blockchain-Assisted Transparent Cross-Domain Authorization and Authentication for Smart City,IoT_general; IoV_VANET; IoMT_healthcare; smart_grid_energy; smart_city,IoT; IoV/VANET; Healthcare/IoMT; Smart grid/energy; Smart city,blockchain_assisted; consortium_private_chain; PKI_CA; hash_MAC; zero_knowledge; dynamic_accumulator,include_primary,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P226,127,XAuth Efficient Privacy-preserving Cross-domain Authentication,IoMT_healthcare,Healthcare/IoMT,blockchain_assisted; PKI_CA; zero_knowledge,include_primary,Zero-knowledge/privacy credential,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P148,128,A Multi-Blockchain Based Anonymous Cross-Domain Authentication Scheme for Industrial Internet of Things,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; smart_grid_energy; smart_city,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Smart grid/energy; Smart city,blockchain_assisted; smart_contract; multi_chain_cross_chain; PKI_CA; certificateless_certificate_free; ECC; bilinear_pairing; hash_MAC; PUF; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer
P155,129,A Traceable Cross-Domain Anonymous Authentication Scheme in Industrial Internet of Things,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; smart_grid_energy,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Smart grid/energy,blockchain_assisted; consortium_private_chain; hierarchical_master_slave_chain; PKI_CA; certificateless_certificate_free; ECC; group_ring_signature; dynamic_accumulator; chameleon_hash,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P138,130,A Cross-Domain Authentication Scheme Based on Cooperative Blockchains Functioning With Revocation for Medical Consortiums,IoT_general; IoMT_healthcare; edge_fog_cloud,IoT; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; smart_contract; multi_chain_cross_chain; PKI_CA; certificateless_certificate_free; chameleon_hash,include_primary,Certificateless split-key,ledger-present; multi-ledger
P143,131,A Lightweight and Robust Cross-Domain Authentication Scheme Based on Master-Slave Blockchain,IIoT; IoT_general; UAV_FANET_IoD; IoMT_healthcare; edge_fog_cloud,IIoT; IoT; UAV/FANET/IoD; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; multi_chain_cross_chain; hierarchical_master_slave_chain; PKI_CA; certificateless_certificate_free; ECC; identity_based_cryptography,include_primary,Ledger-mediated trust,ledger-present; multi-ledger
P149,132,A Multi-Blockchain-Based Cross-Domain Authentication and Authorization Scheme for Energy Internet,IoT_general; smart_grid_energy,IoT; Smart grid/energy,blockchain_assisted; consortium_private_chain; smart_contract; multi_chain_cross_chain; PKI_CA,include_primary,Ledger-mediated trust,ledger-present; multi-ledger
P225,133,TrustPIoT Blockchain-based Anonymous Authentication for Cross-Domain Intelligent PIoT,IoT_general; UAV_FANET_IoD; smart_grid_energy,IoT; UAV/FANET/IoD; Smart grid/energy,blockchain_assisted,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P215,134,Post-Quantum Traceable Anonymous Cross-Domain Authentication for Blockchain-Based IoT,IoT_general; IoV_VANET; IoMT_healthcare; edge_fog_cloud,IoT; IoV/VANET; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; certificateless_certificate_free; hash_MAC; dynamic_accumulator; post_quantum_lattice,include_primary,Post-quantum,ledger-present; privacy/anonymity-layer
P227,135,"ZebraCPA Decentralized, Postquantum Conditional Privacy-Preserving Authentication for VANETs via Traceable ZK Ring Signatures",IoT_general; IoV_VANET; edge_fog_cloud,IoT; IoV/VANET,blockchain_assisted; consortium_private_chain; PKI_CA; certificateless_certificate_free; group_ring_signature; zero_knowledge; post_quantum_lattice,include_primary,Post-quantum,ledger-present; privacy/anonymity-layer
P110,136,A Post-Quantum Cross-Domain Authentication Scheme Based on Multi-Chain Architecture,IIoT; IoT_general,IIoT; IoT,blockchain_assisted; consortium_private_chain; smart_contract; multi_chain_cross_chain; PKI_CA; ECC; hash_MAC; post_quantum_lattice; identity_based_cryptography,include_primary,Post-quantum,ledger-present; multi-ledger
P203,137,Lattice-Based Certificateless Proxy Re-Signature for IoT A Computation-and-Storage Optimized Post-Quantum Scheme,IoT_general; IoMT_healthcare,IoT; Healthcare/IoMT,certificateless_certificate_free; group_ring_signature; proxy_re_signature; post_quantum_lattice; identity_based_cryptography,include_primary,Post-quantum,privacy/anonymity-layer; no-ledger
